fips,county_name,state,n_single_family_homes,latitude,longitude
13007,Baker,GA,1033,31.282154,-84.49584349648408
13009,Baldwin,GA,11510,33.065273000000005,-83.24818322914086
13011,Banks,GA,5344,34.345414000000005,-83.52476287042336
13013,Barrow,GA,25437,33.98969700000001,-83.6953928488537
13015,Bartow,GA,32924,34.221762,-84.84582404804397
13017,Ben Hill,GA,4898,31.7185935,-83.1613474335901
13019,Berrien,GA,4959,31.25981,-83.19292123630564
13021,Bibb,GA,46950,32.793158,-83.7058979006273
13023,Bleckley,GA,3451,32.437633500000004,-83.34446362477144
13025,Brantley,GA,3607,31.186529,-82.00415046194902
13027,Brooks,GA,4449,30.883944999999997,-83.56660239873352
13029,Bryan,GA,12409,31.976537999999998,-81.44118286642964
13031,Bulloch,GA,18036,32.404495,-81.72941045147702
13033,Burke,GA,6266,33.053613477072204,-81.92595832872283
13035,Butts,GA,7546,33.3332345,-83.9457780032894
13037,Calhoun,GA,1322,31.531357,-84.6283001685558
13039,Camden,GA,15066,30.942960499999998,-81.65641449450051
13043,Candler,GA,2665,32.383454,-82.08204681012467
13045,Carroll,GA,33841,33.613085999999996,-85.1176682417888
13047,Catoosa,GA,20378,34.91976432237085,-85.13882556085682
13049,Charlton,GA,2730,30.703108999999998,-82.10774586244223
13051,Chatham,GA,83956,31.9177825,-81.0724244493957
13053,Chattahoochee,GA,1194,32.3998155383409,-84.76634127500839
13055,Chattooga,GA,7455,34.509004000000004,-85.32778182335068
13057,Cherokee,GA,81623,34.270543,-84.45362911645849
13059,Clarke,GA,27001,33.948555999999996,-83.38594534209025
13061,Clay,GA,987,31.646268,-85.00907511115673
13063,Clayton,GA,73798,33.505268,-84.35157803355814
13065,Clinch,GA,1993,30.916279000000003,-82.73174318599465
13067,Cobb,GA,203814,33.9484865,-84.57108042094544
13069,Coffee,GA,9957,31.584770499999998,-82.84868683281275
13071,Colquitt,GA,11545,31.1595725,-83.76787169284292
13073,Columbia,GA,46866,33.4497845,-82.26239728656913
13075,Cook,GA,4583,31.151967,-83.43177431166234
13077,Coweta,GA,47172,33.368305500000005,-84.78354355409635
13079,Crawford,GA,2696,32.6875335,-83.9642311126986
13081,Crisp,GA,6364,31.8875855,-83.77065032376234
13083,Dade,GA,5545,34.795459,-85.50927478468036
13085,Dawson,GA,10058,34.503519,-84.23895907841808
13087,Decatur,GA,8896,30.935339499999998,-84.56848692751444
13089,DeKalb,GA,183182,33.7787165,-84.2045130217524
13091,Dodge,GA,5225,32.1660495,-83.14821810946765
13093,Dooly,GA,3046,32.1621215,-83.82162797536242
13095,Dougherty,GA,24650,31.502630500000002,-84.21512792805203
13097,Douglas,GA,41603,33.701458,-84.76026881324611
13099,Early,GA,3366,31.313571500000002,-84.86083385077774
13101,Echols,GA,633,30.7143205,-82.90219323329748
13103,Effingham,GA,17698,32.364187,-81.33289622718235
13105,Elbert,GA,6261,34.1147385,-82.86225471570486
13107,Emanuel,GA,5771,32.569610499999996,-82.30269957111796
13109,Evans,GA,2861,32.171027,-81.89344828068812
13111,Fannin,GA,14636,34.702051499999996,-84.19941167580565
13113,Fayette,GA,37966,33.381067,-84.48697092861987
13115,Floyd,GA,29155,34.31665149425275,-85.19708785148592
13117,Forsyth,GA,74917,34.190825000000004,-84.1290295145684
13119,Franklin,GA,6787,34.370436999999995,-83.24778081988983
13121,Fulton,GA,230894,33.8684345,-84.39984714154899
13123,Gilmer,GA,13816,34.6734145,-84.44620908825908
13125,Glascock,GA,902,33.213904,-82.63489217096405
13127,Glynn,GA,27528,31.250386032372752,-81.52088648110615
13129,Gordon,GA,17040,34.4978885,-84.87023671016453
13131,Grady,GA,7218,30.80068259852295,-84.22960481951603
13133,Greene,GA,7757,33.5568045,-83.15510906911817
13135,Gwinnett,GA,237146,33.973479,-84.05272446298244
13137,Habersham,GA,13086,34.6007155,-83.52058009557152
13139,Hall,GA,56986,34.3266045,-83.79959881947943
13141,Hancock,GA,2585,33.2846675,-82.98325873227749
13143,Haralson,GA,9457,33.805349500000005,-85.20585000444143
13145,Harris,GA,12788,32.66920873757855,-84.89145972720246
13147,Hart,GA,8929,34.35221990912735,-82.95596994043649
13149,Heard,GA,2975,33.3250995,-85.12581144801945
13151,Henry,GA,71702,33.464988000000005,-84.11541819478091
13153,Houston,GA,49790,32.49105350000001,-83.6464124568464
13155,Irwin,GA,2782,31.6327075,-83.26117754532513
13157,Jackson,GA,22926,34.162496000000004,-83.57967061669699
13159,Jasper,GA,5117,33.280632,-83.68800573744515
13161,Jeff Davis,GA,3825,31.8270735,-82.67094549040146
13163,Jefferson,GA,4381,33.04742,-82.44865802054815
13165,Jenkins,GA,2936,32.742934000000005,-81.97737635794262
13167,Johnson,GA,2130,32.673285,-82.6493262014659
13169,Jones,GA,7783,32.979403500000004,-83.5421128993047
13171,Lamar,GA,5656,33.108975,-84.14715766723614
13173,Lanier,GA,2616,30.9877665,-83.08001025577803
13175,Laurens,GA,13629,32.4208285,-82.91834314421746
13177,Lee,GA,10159,31.720728,-84.1524739122325
13179,Liberty,GA,15050,31.7901755,-81.49340643967611
13181,Lincoln,GA,3022,33.7602345,-82.41410442849258
13183,Long,GA,3542,31.7800145,-81.81232198336855
13185,Lowndes,GA,34158,30.8333075,-83.25276976941825
13187,Lumpkin,GA,9392,34.5709365,-84.0259173952023
13189,McDuffie,GA,6039,33.4525865,-82.47666214385183
13191,McIntosh,GA,4098,31.504036,-81.41609036364036
13193,Macon,GA,3294,32.3341045,-84.05374585393037
13195,Madison,GA,7925,34.1434535,-83.22420071710403
13197,Marion,GA,1812,32.323449,-84.53163552704805
13199,Meriwether,GA,6634,32.975414,-84.69695268352382
13201,Miller,GA,2010,31.1674805,-84.72985599160033
13205,Mitchell,GA,5853,31.252242,-84.18662161678262
13207,Monroe,GA,8602,32.992729,-83.88466977370064
13209,Montgomery,GA,2113,32.1535795,-82.53890598216847
13211,Morgan,GA,6372,33.703037,-83.50592214325124
13213,Murray,GA,9735,34.830839,-84.73652751577254
13215,Muscogee,GA,59984,32.4833555,-84.85683862069692
13217,Newton,GA,37062,33.5590935,-83.84206703304815
13219,Oconee,GA,13468,33.834450000000004,-83.4192611876909
13221,Oglethorpe,GA,4341,33.857937,-83.09966208086271
13223,Paulding,GA,54253,33.881667500000006,-84.88587532106486
13225,Peach,GA,8224,32.580676999999994,-83.82541403414248
13227,Pickens,GA,12031,34.508176000000006,-84.49235062797692
13229,Pierce,GA,5329,31.332432,-82.2073212384737
13231,Pike,GA,5958,33.111598,-84.38248095318602
13233,Polk,GA,13254,34.015884,-85.17988364373072
13235,Pulaski,GA,2511,32.225657,-83.46589825516159
13237,Putnam,GA,7923,33.3325375,-83.34674061256324
13239,Quitman,GA,838,31.881863000000003,-85.0139776326392
13241,Rabun,GA,9780,34.85089,-83.44762673868183
13243,Randolph,GA,1981,31.7259575,-84.76220932479012
13245,Richmond,GA,54510,33.403239,-82.07795119164632
